title,author,length,releaseDate,language
"Reincarnated as a Sword (Light Novel), Vol. 3",Yuu Tanaka,Length: 8 hrs and 43 mins,Releasedate:10-03-24,Language:English
Drumindor,Michael J. Sullivan,Length: 12 hrs and 45 mins,Releasedate:10-21-24,Language:English
Alpha Varsity,Renee Rose,Length: 6 hrs and 48 mins,Releasedate:10-03-24,Language:English
Dungeon Diving 202,Bruce Sentar,Length: 10 hrs and 16 mins,Releasedate:10-09-24,Language:English
Hell's Wardens,pirateaba,Length: 26 hrs and 36 mins,Releasedate:11-12-24,Language:English
Someone You Deserve,Harlow James,Length: 9 hrs and 6 mins,Releasedate:10-04-24,Language:English
The Striker,Ana Huang,Length: 15 hrs and 45 mins,Releasedate:10-22-24,Language:English
A Fondant Farewell,H.Y. Hanna,Length: 10 hrs and 47 mins,Releasedate:10-01-24,Language:English
Huntsong,pirateaba,Length: 30 hrs and 31 mins,Releasedate:12-10-24,Language:English
Hidden Nature,Nora Roberts,Length: 14 hrs and 30 mins,Releasedate:05-27-25,Language:English
Chilling Reflections,Drew Hayes,Length: 34 hrs,Releasedate:06-24-25,Language:English
Bog Standard Isekai: Illusionist,Miles English,Length: 18 hrs and 52 mins,Releasedate:10-02-24,Language:English
A Thousand-Mile Walk to the Gulf (Annotated),John Muir,Length: 4 hrs and 4 mins,Releasedate:10-03-24,Language:English
The Academy,Patrick Bet-David,Length: 11 hrs and 45 mins,Releasedate:10-22-24,Language:English
Mistlight,JA Andrews,Length: 19 hrs and 22 mins,Releasedate:01-07-25,Language:English
The Rise of the Sinister: 2nd Chronicles of Arianthem III,Samantha Sabian,Length: 11 hrs and 54 mins,Releasedate:10-04-24,Language:English
When the Moon Hits Your Eye,John Scalzi,Length: Not Yet Known,Releasedate:03-25-25,Language:English
Play Nice,Jason Schreier,Length: 9 hrs and 16 mins,Releasedate:10-08-24,Language:English
Cruel Sentence,Michael Stagg,Length: 11 hrs and 40 mins,Releasedate:11-12-24,Language:English
How to Start a Business Complete Guidebook,David Whitehead,Length: 11 hrs and 16 mins,Releasedate:09-25-24,Language:English
I Haven’t Been Entirely Honest with You,Miranda Hart,Length: 10 hrs and 9 mins,Releasedate:10-10-24,Language:English
Lord of Vice,Piper Stone,Length: 9 hrs and 24 mins,Releasedate:10-02-24,Language:English
Fate's Enforcer,"Adam Lance,Anne Ominous",Length: 10 hrs,Releasedate:10-03-24,Language:English
Heretic Spellblade 8,K.D. Robertson,Length: 24 hrs and 26 mins,Releasedate:11-05-24,Language:English
The Pretenders of Copper County,May Archer,Length: 9 hrs and 45 mins,Releasedate:10-02-24,Language:English
Coven King 3,"Virgil Knightley,Edgar Riggs",Length: 10 hrs and 55 mins,Releasedate:10-01-24,Language:English
The Lost Legion,"Jason Anspach,Blaine L. Pardoe,Nick Cole",Length: 12 hrs and 20 mins,Releasedate:10-15-24,Language:English
Good Boys 2: Unleashed,Jeremy Robinson,Length: 10 hrs and 9 mins,Releasedate:10-15-24,Language:English
Rook & Rebel,Kate Crew,Length: 10 hrs and 12 mins,Releasedate:10-03-24,Language:English
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins,Releasedate:11-19-24,Language:English
Scythe & Sparrow,Brynne Weaver,Length: Not Yet Known,Releasedate:02-11-25,Language:English
Sunrise on the Reaping,Suzanne Collins,Length: Not Yet Known,Releasedate:03-18-25,Language:English
Gathering Mist,Margaret Mizushima,Length: 9 hrs and 29 mins,Releasedate:10-08-24,Language:English
Deadly Defense,Robin James,Length: 8 hrs and 57 mins,Releasedate:10-02-24,Language:English
Older,Jennifer Hartmann,Length: 13 hrs and 49 mins,Releasedate:10-22-24,Language:English
Protocols,Andrew D. Huberman Ph.D.,Length: 10 hrs,Releasedate:04-22-25,Language:English
Hate Me,Summer O'Toole,Length: 8 hrs and 18 mins,Releasedate:10-02-24,Language:English
Storm of Ink and Blood,Nisha J. Tuli,Length: 12 hrs and 55 mins,Releasedate:10-04-24,Language:English
Red Company: Steel Rain,B.V. Larson,Length: 9 hrs and 12 mins,Releasedate:12-17-24,Language:English
Resistance,Sean Oswald,Length: 14 hrs and 10 mins,Releasedate:10-29-24,Language:English
Magic Breaks (Dramatized Adaptation),Ilona Andrews,Length: 11 hrs and 38 mins,Releasedate:10-15-24,Language:English
A Many-Threaded Tapestry,Olan Thorensen,Length: 24 hrs and 11 mins,Releasedate:10-29-24,Language:English
Framed,"John Grisham,Jim McCloskey",Length: 13 hrs and 55 mins,Releasedate:10-15-24,Language:English
The Killer's Club,Dan Decker,Length: 15 hrs and 40 mins,Releasedate:10-02-24,Language:English
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Length: 17 hrs and 46 mins,Releasedate:11-12-24,Language:English
Road to Mastery 4,Valerios,Length: 24 hrs and 9 mins,Releasedate:10-08-24,Language:English
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs,Releasedate:11-19-24,Language:English
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins,Releasedate:01-21-25,Language:English
Wrath of the Triple Goddess,Rick Riordan,Length: 8 hrs and 38 mins,Releasedate:09-24-24,Language:English
Countdown 1960,"Chris Wallace,Mitch Weiss - contributor",Length: 14 hrs and 12 mins,Releasedate:10-08-24,Language:English
The Orphanage by the Lake,Daniel G. Miller,Length: 7 hrs and 50 mins,Releasedate:10-02-24,Language:English
"Classroom of the Elite: Year 2 (Light Novel), Vol. 3",Syougo Kinugasa,Length: 10 hrs and 56 mins,Releasedate:10-04-24,Language:English
"I Want to Trust You, but I Don't",Lysa TerKeurst,Length: 6 hrs and 51 mins,Releasedate:10-08-24,Language:English
Copaternidad Efectiva o Crianza Paralela con un Narcisista [Effective Coparenting or Parallel Parenting with a Narcissist],Claire Brown,Length: 5 hrs and 1 min,Releasedate:09-17-24,Language:Spanish
Unleashed,Boris Johnson,Length: 12 hrs,Releasedate:10-22-24,Language:English
Discovery,P.A. Parsons,Length: 16 hrs and 39 mins,Releasedate:10-03-24,Language:English
Sonny Boy,Al Pacino,Length: 12 hrs and 28 mins,Releasedate:10-15-24,Language:English
The Last One at the Wedding,Jason Rekulak,Length: 11 hrs and 14 mins,Releasedate:10-08-24,Language:English
A Body at the Grand Hotel,Benedict Brown,Length: Not Yet Known,Releasedate:11-14-24,Language:English
The Biblical Path to Financial Freedom,Seth Jones,Length: 6 hrs and 45 mins,Releasedate:08-28-24,Language:English
In Too Deep,"Lee Child,Andrew Child",Length: 9 hrs and 58 mins,Releasedate:10-22-24,Language:English
Time for Us,L.M. Halloran,Length: 7 hrs and 57 mins,Releasedate:10-04-24,Language:English
Now or Never,Janet Evanovich,Length: 8 hrs,Releasedate:11-19-24,Language:English
The PLAN,Kendra J. Adachi,Length: 6 hrs,Releasedate:10-08-24,Language:English
Mimic & Me 3,"Cassius Lange,Ryan Tang",Length: 17 hrs and 3 mins,Releasedate:09-24-24,Language:English
The Waiting,Michael Connelly,Length: 10 hrs and 50 mins,Releasedate:10-15-24,Language:English
200 Dangerous Truths About Project 2025,J. E. Fowlers,Length: 1 hr and 35 mins,Releasedate:09-30-24,Language:English
Wicked King,Sienna Cross,Length: 9 hrs and 39 mins,Releasedate:10-03-24,Language:English
Road to Mastery 5,Valerios,Length: 17 hrs and 44 mins,Releasedate:10-09-24,Language:English
Frames of Mind,Howard E. Gardner,Length: 19 hrs and 30 mins,Releasedate:12-03-24,Language:English
Identity Unknown,Patricia Cornwell,Length: 10 hrs and 12 mins,Releasedate:10-08-24,Language:English
Pucking Sweet,Emily Rath,Length: 19 hrs and 44 mins,Releasedate:09-24-24,Language:English
Naughty: Erotic Sex Stories,Lauren Rose,Length: 10 hrs and 10 mins,Releasedate:09-18-24,Language:English
Stone,Anna Hackett,Length: 2 hrs and 59 mins,Releasedate:09-30-24,Language:English
Temptation Trails,Claire Kingsley,Length: 11 hrs and 22 mins,Releasedate:09-12-24,Language:English
Vengeance Planning for Amateurs,Lee Winter,Length: 11 hrs and 41 mins,Releasedate:10-08-24,Language:English
Wind and Truth,Brandon Sanderson,Length: 55 hrs,Releasedate:12-06-24,Language:English
Main Street Millionaire,Codie Sanchez,Length: 9 hrs,Releasedate:12-03-24,Language:English
Experiencing the American Dream,Mark Matson,Length: Not Yet Known,Releasedate:12-24-24,Language:English
Brothers,Alex van Halen,Length: 6 hrs and 9 mins,Releasedate:10-22-24,Language:English
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,Length: 4 hrs and 45 mins,Releasedate:10-22-24,Language:English
Hand of Abaddon,Nick Kyme,Length: 13 hrs and 3 mins,Releasedate:09-21-24,Language:English
The Secret Base,Nathan Hystad,Length: 9 hrs and 43 mins,Releasedate:10-08-24,Language:English
Knightqueen,Anna Hackett,Length: 5 hrs and 4 mins,Releasedate:10-01-24,Language:English
Bonded in Death,J. D. Robb,Length: 10 hrs and 30 mins,Releasedate:02-04-25,Language:English
The Romance Line,Lauren Blakely,Length: 12 hrs and 11 mins,Releasedate:10-02-24,Language:English
Are Your Parents Home?,Jon Athan,Length: 5 hrs and 32 mins,Releasedate:10-03-24,Language:English
Love After Midnight,Sister Souljah,Length: 13 hrs,Releasedate:10-08-24,Language:English
The Grid's Collapse,Colton Lively,Length: 6 hrs and 36 mins,Releasedate:10-03-24,Language:English
Ruthless Fae (Dramatized Adaptation),"Susanne Valenti,Caroline Peckham",Length: 13 hrs,Releasedate:11-05-24,Language:English
Earthshaker: A LitRPG Progression Fantasy,Plum Parrot,Length: 19 hrs and 12 mins,Releasedate:03-11-25,Language:English
Sunlight,Devney Perry,Length: 9 hrs and 16 mins,Releasedate:10-15-24,Language:English
Coral Memories,Jan Moran,Length: 5 hrs and 54 mins,Releasedate:10-01-24,Language:English
To Die For,David Baldacci,Length: 12 hrs,Releasedate:11-12-24,Language:English
Challenger,Seth Ring,Length: 14 hrs,Releasedate:11-12-24,Language:English
Zodiac Academy,"Caroline Peckham,Susanne Valenti",Length: 10 hrs and 21 mins,Releasedate:09-18-24,Language:English
7 Hours to Die,"James Patterson,Duane Swierczynski",Length: 2 hrs and 25 mins,Releasedate:09-12-24,Language:English
The Invention of Good and Evil,Hanno Sauer,Length: 12 hrs and 44 mins,Releasedate:09-24-24,Language:English
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins,Releasedate:12-17-24,Language:English
I'll Be Home for Mischief,Jacqueline Frost,Length: 8 hrs,Releasedate:11-12-24,Language:English
What Color Is Your Parachute?,Richard N. Bolles,Length: 13 hrs,Releasedate:11-26-24,Language:English
The Sullivan's Island Supper Club,Susan M. Boyer,Length: 9 hrs and 47 mins,Releasedate:10-04-24,Language:English
Blind Spots,Marty Makary MD,Length: 10 hrs and 24 mins,Releasedate:09-17-24,Language:English
The Grey Wolf,Louise Penny,Length: 12 hrs and 51 mins,Releasedate:10-29-24,Language:English
The Wingman,Stephanie Archer,Length: 11 hrs and 39 mins,Releasedate:09-26-24,Language:English
A Bad Case of Jealousy,Lulu Bracket,Length: 28 mins,Releasedate:10-03-24,Language:English
State of Alert,Marie Force,Length: Not Yet Known,Releasedate:12-25-24,Language:English
Scarred Resolve,K.N. Banet,Length: 8 hrs and 15 mins,Releasedate:10-01-24,Language:English
Dark Rising,"Brian Andrews,Jeffrey Wilson",Length: 16 hrs and 30 mins,Releasedate:04-08-25,Language:English
Road of Vengeance,"J.N. Chaney,Rick Partlow",Length: 10 hrs and 2 mins,Releasedate:10-03-24,Language:English
Hexy Hijinks,Amanda M. Lee,Length: 10 hrs and 32 mins,Releasedate:09-30-24,Language:English
Drew,Siobhan Davis™,Length: 10 hrs and 35 mins,Releasedate:09-30-24,Language:English
Hell of a Witch,Rachel Aaron,Length: 11 hrs and 34 mins,Releasedate:09-30-24,Language:English
Stroke,Stephanie Nicole Norris,Length: 3 hrs and 53 mins,Releasedate:09-30-24,Language:English
Dashing Devil 5: Bold Beginnings,G.D. Brooks,Length: 20 hrs and 1 min,Releasedate:10-01-24,Language:English
"Overlord, Vol. 14","Kugane Maruyama,so-bin - illustrator,Andrew Cunningham - translator",Length: 12 hrs and 19 mins,Releasedate:10-15-24,Language:English
Blood Bound (Dramatized Adaptation),Patricia Briggs,Length: 7 hrs and 47 mins,Releasedate:10-04-24,Language:English
"Accomplishments of the Duke's Daughter (Light Novel), Vol. 1",Reia,Length: 6 hrs and 22 mins,Releasedate:10-03-24,Language:English
A Killer of Influence,JD Kirk,Length: 12 hrs and 29 mins,Releasedate:09-12-24,Language:English
Star Wars: The High Republic: Beware the Nameless,Zoraida Córdova,Length: 6 hrs and 32 mins,Releasedate:10-01-24,Language:English
The Fury of the Gods,John Gwynne,Length: 19 hrs and 31 mins,Releasedate:10-22-24,Language:English
"LLC (Limited Liability Company) Mastery Handbook: A 9 Step Beginners System on How to Start, Run, and Grow a Small Business Master Branding, Accounting, Tax Advantages, Expansion Strategies and More",David Whitehead,Length: 12 hrs and 27 mins,Releasedate:08-14-24,Language:English
"The Condemned Villainess Goes Back in Time and Aims to Become the Ultimate Villain, Vol. 2",Bakufu Narayama,Length: 11 hrs and 17 mins,Releasedate:10-04-24,Language:English
The Revered and the Pariah,J.E. Reed,Length: 21 hrs and 45 mins,Releasedate:09-30-24,Language:English
Windswept,J. Dawn King,Length: 7 hrs and 18 mins,Releasedate:10-03-24,Language:English
Black River,Nilanjana Roy,Length: 11 hrs and 11 mins,Releasedate:10-01-24,Language:English
By Any Other Name,Jodi Picoult,Length: 18 hrs and 25 mins,Releasedate:08-20-24,Language:English
Grimstone,Sophie Lark,Length: 9 hrs and 46 mins,Releasedate:09-25-24,Language:English
Dungeon Life 3: An Isekai LitRPG,Khenal,Length: 20 hrs and 41 mins,Releasedate:12-17-24,Language:English
Promise Me Not,Meagan Brandy,Length: 12 hrs and 9 mins,Releasedate:10-01-24,Language:English
Task Force Hammer,Craig Alanson,Length: 22 hrs and 9 mins,Releasedate:09-10-24,Language:English
The Great Indoors,Ginny Hogan,Length: 3 hrs and 53 mins,Releasedate:09-19-24,Language:English
On Being Jewish Now,Zibby Owens - editor,Length: 7 hrs and 43 mins,Releasedate:10-01-24,Language:English
The Somerset Slayings,David J. Gatward,Length: 7 hrs and 15 mins,Releasedate:09-30-24,Language:English
Trials of the Nekomancer,Dungeon Ducky,Length: 15 hrs and 42 mins,Releasedate:09-30-24,Language:English
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins,Releasedate:05-26-22,Language:English
Shifter Girl Summer 2,Landon Scott,Length: 5 hrs and 34 mins,Releasedate:10-01-24,Language:English
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins,Releasedate:04-04-24,Language:English
Mine to Take,Jennifer Sucevic,Length: 8 hrs and 14 mins,Releasedate:10-03-24,Language:English
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins,Releasedate:01-28-21,Language:English
Constituent Service,John Scalzi,Length: 2 hrs and 30 mins,Releasedate:10-03-24,Language:English
Nantucket Summer House,Pamela M. Kelley,Length: 7 hrs and 33 mins,Releasedate:09-27-24,Language:English
Slap Shot Surprise,Melanie Harlow,Length: 9 hrs and 36 mins,Releasedate:10-01-24,Language:English
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins,Releasedate:08-31-10,Language:English
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins,Releasedate:12-09-03,Language:English
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins,Releasedate:11-17-20,Language:English
Livesuit,James S.A. Corey,Length: 2 hrs and 43 mins,Releasedate:10-01-24,Language:English
Heart of the Machine: A Humorous Isekai LitRPG,Icalos,Length: 15 hrs and 47 mins,Releasedate:12-10-24,Language:English
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins,Releasedate:09-01-15,Language:English
Dragon's Hoard 2,Gwen Grayson,Length: 8 hrs and 18 mins,Releasedate:10-02-24,Language:English
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins,Releasedate:11-20-15,Language:English
The Way of Edan,Philip Chase,Length: 15 hrs and 18 mins,Releasedate:10-03-24,Language:English
The Shadow of Dread,T.C. Edge,Length: 39 hrs and 46 mins,Releasedate:10-29-24,Language:English
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins,Releasedate:11-20-15,Language:English
Umbral Savage,JD Glasscock,Length: 15 hrs and 21 mins,Releasedate:10-02-24,Language:English
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins,Releasedate:09-16-21,Language:English
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins,Releasedate:09-02-21,Language:English
The Legend of Randidly Ghosthound 8,"Noret Flood,puddles4263",Length: 29 hrs and 7 mins,Releasedate:12-17-24,Language:English
Symposium (Annotated),Plato,Length: 2 hrs and 57 mins,Releasedate:10-02-24,Language:English
Everyday Gospel,Paul David Tripp,Length: 23 hrs and 26 mins,Releasedate:10-08-24,Language:English
Awakening the Angel System: Angel of War,Dungeon Ducky,Length: 13 hrs and 47 mins,Releasedate:10-01-24,Language:English
Magma Heart,Plum Parrot,Length: 21 hrs and 29 mins,Releasedate:10-08-24,Language:English
Rebel Heart,Brighton Walsh,Length: 8 hrs and 59 mins,Releasedate:09-30-24,Language:English
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins,Releasedate:10-23-18,Language:English
Nexus,Yuval Noah Harari,Length: 17 hrs and 28 mins,Releasedate:09-10-24,Language:English
Filthy Wicked Psychos: Complete Series,Eva Ashwood,Length: 52 hrs and 49 mins,Releasedate:09-10-24,Language:English
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins,Releasedate:02-16-21,Language:English
Conqueror,Jez Cajiao,Length: 29 hrs and 55 mins,Releasedate:12-03-24,Language:English
An Unexpected Hero,"Rhett C. Bruno,Jaime Castle",Length: 16 hrs and 45 mins,Releasedate:10-15-24,Language:English
The Obstacle Is the Way Expanded (10th Anniversary Edition),Ryan Holiday,Length: 4 hrs and 57 mins,Releasedate:10-15-24,Language:English
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins,Releasedate:12-27-19,Language:English
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins,Releasedate:12-28-03,Language:English
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins,Releasedate:11-20-15,Language:English
Forever Starts Tonight,Karla Sorensen,Length: 11 hrs and 37 mins,Releasedate:09-27-24,Language:English
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins,Releasedate:03-04-14,Language:English
"That Time I Got Reincarnated as a Slime, Vol. 1 (Light Novel)","Fuse,Mitz Mitz Vah - illustrator,Kevin Gifford - translator",Length: 9 hrs,Releasedate:10-15-24,Language:English
Drop Dead,Lily Chu,Length: 11 hrs and 25 mins,Releasedate:08-01-24,Language:English
Lights Out,Navessa Allen,Length: 13 hrs and 38 mins,Releasedate:08-06-24,Language:English
The Mirror,Nora Roberts,Length: 13 hrs and 48 mins,Releasedate:11-19-24,Language:English
The Returned 1,Dante King,Length: 12 hrs and 49 mins,Releasedate:10-01-24,Language:English
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins,Releasedate:12-28-08,Language:English
Polostan,Neal Stephenson,Length: 11 hrs and 41 mins,Releasedate:10-15-24,Language:English
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins,Releasedate:12-30-07,Language:English
Forbidden Puckboy,"Eden Finley,Saxon James",Length: 6 hrs and 58 mins,Releasedate:09-16-24,Language:English
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins,Releasedate:09-01-23,Language:English
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins,Releasedate:05-01-18,Language:English
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins,Releasedate:09-16-04,Language:English
The Great When,Alan Moore,Length: 13 hrs and 28 mins,Releasedate:10-01-24,Language:English
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins,Releasedate:11-20-15,Language:English
Baneblade,Guy Haley,Length: 11 hrs and 49 mins,Releasedate:09-28-24,Language:English
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins,Releasedate:06-11-24,Language:English
The Sick Man's Rage,"Amir Tsarfati,Steve Yohn",Length: 10 hrs and 13 mins,Releasedate:01-28-25,Language:English
Ghost Operative,"David Archer,Vince Vogel",Length: 9 hrs and 50 mins,Releasedate:09-30-24,Language:English
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins,Releasedate:11-14-17,Language:English
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins,Releasedate:02-15-22,Language:English
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins,Releasedate:03-11-04,Language:English
Warbreaker's Rage,Troy Osgood,Length: 20 hrs and 38 mins,Releasedate:09-11-24,Language:English
The Alchemist of Brushstrokes and Brimstone,Gigi Pandian,Length: 9 hrs and 53 mins,Releasedate:10-01-24,Language:English
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins,Releasedate:09-13-16,Language:English
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins,Releasedate:09-01-15,Language:English
All Too Well,Corinne Michaels,Length: 8 hrs and 48 mins,Releasedate:09-18-24,Language:English
Dominion Genesis,Jonathan D Beer,Length: 10 hrs and 47 mins,Releasedate:09-21-24,Language:English
Not Till We Are Lost,Dennis E. Taylor,Length: 11 hrs and 41 mins,Releasedate:09-05-24,Language:English
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 49 mins,Releasedate:08-29-22,Language:English
Badass Bear,Bianca D'Arc,Length: 5 hrs and 16 mins,Releasedate:10-03-24,Language:English
Before Highland Sunset,Kait Nolan,Length: 7 hrs and 12 mins,Releasedate:10-04-24,Language:English
Separation: A Fantasy LitRPG Adventure,Seth Ring,Length: 11 hrs and 45 mins,Releasedate:10-29-24,Language:English
Nothing Heals Me Like You Do,Harper Bliss,Length: 7 hrs and 7 mins,Releasedate:09-13-24,Language:English
Bells Hells—What Doesn't Break,"Cassandra Khaw,Critical Role",Length: 11 hrs and 14 mins,Releasedate:10-08-24,Language:English
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins,Releasedate:03-03-20,Language:English
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins,Releasedate:11-20-15,Language:English
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins,Releasedate:09-06-16,Language:English
Toll of Honor,David Weber,Length: 17 hrs and 45 mins,Releasedate:12-10-24,Language:English
The Rocker's Muse,Penelope Ward,Length: 7 hrs and 57 mins,Releasedate:08-26-24,Language:English
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins,Releasedate:04-26-22,Language:English
The Complete Retirement Guide for People 50+,"Yearn More Publications,Yolanda Mabanglo",Length: 5 hrs and 49 mins,Releasedate:10-03-24,Language:English
Thirsting,Strahan Coleman,Length: 6 hrs and 40 mins,Releasedate:10-01-24,Language:English
Be Ready When the Luck Happens,Ina Garten,Length: 8 hrs and 47 mins,Releasedate:10-01-24,Language:English
Jones,Gerri Hill,Length: 6 hrs and 9 mins,Releasedate:09-17-24,Language:English
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins,Releasedate:09-20-16,Language:English
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins,Releasedate:09-05-17,Language:English
The Triumph of Venus,Travis Starnes,Length: 14 hrs and 26 mins,Releasedate:10-08-24,Language:English
The Bratva's Bride,Rose Chase,Length: 19 hrs and 44 mins,Releasedate:10-03-24,Language:English
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins,Releasedate:05-02-17,Language:English
Twisted Lies,Ana Huang,Length: 16 hrs and 23 mins,Releasedate:11-03-22,Language:English
The Hate I Feel,Siobhan Davis™,Length: 9 hrs,Releasedate:09-30-24,Language:English
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins,Releasedate:12-28-08,Language:English
